value,set,algo
0.9402121504339441,validation,convlstm
0.3461909353905497,validation,convlstm
0.3461909353905497,validation,convlstm
0.9773384763741563,validation,convlstm
0.3461909353905497,validation,convlstm
0.3461909353905497,validation,convlstm
