iter1,iter2,iter3,perf,algo
0.5440972222222222,,,Val Acc,convlstm
0.6204861111111111,,,Val Acc,convlstm
0.621875,,,Val Acc,convlstm
0.6222222222222222,,,Val Acc,convlstm
0.6708333333333333,,,Val Acc,convlstm
0.8253472222222222,,,Val Acc,convlstm
0.8798611111111111,,,Val Acc,convlstm
0.9104166666666667,,,Val Acc,convlstm
0.9135416666666667,,,Val Acc,convlstm
0.9232638888888889,,,Val Acc,convlstm
0.9201388888888888,,,Val Acc,convlstm
0.9215277777777777,,,Val Acc,convlstm
0.9201388888888888,,,Val Acc,convlstm
0.9253472222222222,,,Val Acc,convlstm
0.9295138888888889,,,Val Acc,convlstm
0.9256944444444445,,,Val Acc,convlstm
0.9201388888888888,,,Val Acc,convlstm
0.9274305555555555,,,Val Acc,convlstm
0.9305555555555556,,,Val Acc,convlstm
0.9298611111111111,,,Val Acc,convlstm
0.9305555555555556,,,Val Acc,convlstm
0.9295138888888889,,,Val Acc,convlstm
0.9298611111111111,,,Val Acc,convlstm
0.9302083333333333,,,Val Acc,convlstm
0.934375,,,Val Acc,convlstm
0.9340277777777778,,,Val Acc,convlstm
0.9371527777777777,,,Val Acc,convlstm
0.9350694444444444,,,Val Acc,convlstm
0.9378472222222223,,,Val Acc,convlstm
0.940625,,,Val Acc,convlstm
1.0126609047253927,,,Val Loss,convlstm
0.8157015800476074,,,Val Loss,convlstm
0.7539733436372545,,,Val Loss,convlstm
0.7206194970342849,,,Val Loss,convlstm
0.6375436577532027,,,Val Loss,convlstm
0.5392524103323618,,,Val Loss,convlstm
0.3789580957757102,,,Val Loss,convlstm
0.29768804013729094,,,Val Loss,convlstm
0.27261129650804733,,,Val Loss,convlstm
0.2445934342013465,,,Val Loss,convlstm
0.24651809963915083,,,Val Loss,convlstm
0.24201427549123763,,,Val Loss,convlstm
0.2371739657388793,,,Val Loss,convlstm
0.2238029291232427,,,Val Loss,convlstm
0.21774938454230627,,,Val Loss,convlstm
0.23442587074306276,,,Val Loss,convlstm
0.24396904011567433,,,Val Loss,convlstm
0.20598910666174358,,,Val Loss,convlstm
0.21035506518350708,,,Val Loss,convlstm
0.21673139267497593,,,Val Loss,convlstm
0.204546059254143,,,Val Loss,convlstm
0.2147899980346362,,,Val Loss,convlstm
0.20891327112913133,,,Val Loss,convlstm
0.21603664507468542,,,Val Loss,convlstm
0.20423015016648505,,,Val Loss,convlstm
0.22498318900664646,,,Val Loss,convlstm
0.21802218895819453,,,Val Loss,convlstm
0.21264949391285579,,,Val Loss,convlstm
0.22056217168768247,,,Val Loss,convlstm
0.20967779838376574,,,Val Loss,convlstm
1.1719628272923757,,,Loss,convlstm
0.9204818669263548,,,Loss,convlstm
0.7810626273792908,,,Loss,convlstm
0.732638286446488,,,Loss,convlstm
0.6716491813352956,,,Loss,convlstm
0.5856568809048769,,,Loss,convlstm
0.43926016654696853,,,Loss,convlstm
0.28360361633119846,,,Loss,convlstm
0.2341062661565492,,,Loss,convlstm
0.1894517662947457,,,Loss,convlstm
0.17286933031086565,,,Loss,convlstm
0.15219759971441246,,,Loss,convlstm
0.13809220451466853,,,Loss,convlstm
0.1369950194454811,,,Loss,convlstm
0.12181533642771729,,,Loss,convlstm
0.11608830260346467,,,Loss,convlstm
0.10879205659631776,,,Loss,convlstm
0.10593115701092332,,,Loss,convlstm
0.10619273162561123,,,Loss,convlstm
0.09931463773298986,,,Loss,convlstm
0.09216004244255721,,,Loss,convlstm
0.0915017301998498,,,Loss,convlstm
0.09815498360435701,,,Loss,convlstm
0.09103336484826091,,,Loss,convlstm
0.08667644805092604,,,Loss,convlstm
0.082949456842836,,,Loss,convlstm
